INSEE,Type usagers,Nbre total places,Nbre place parc relais,Nbre place PMR,Nbre place voit elec,Nbre place vélo,Nbre place velo-2rm elec,Nbre place autopartage,Nbre place 2rm,Nbre place covoiturage,Hauteur max,X longitude parc WGS84,Y latitude parc WGS84,Tarif PMR,Tarif_1h,Tarif_2h,Tarif_3h,Tarif_4h,Tarif_24h,Abonnement résident,Abonnement non résident,Informations,Identifiants entrées,Adresses entrées,Délégataire,Téléphone,Horaire ouverture non abonnés,Ascenseur surface,Abonnement mensuel,Abonnement annuel,Tarif VL petit rouleur,Tarif petit rouleur annuel mini,Tarif petit rouleur annuel maxi,Tarif VL résident,Tarif résident annuel,Tarif_15mn,Tarif_30mn,Tarif_1h30,Tarif_7h,Tarif_8h,Tarif_9h,Tarif_10h,Tarif_11h,Tarif_12h,Tarif abonnement PMR mensuel,Tarif abonnement PMR timestriel,Tarif abonnement PMR annuel,Date MaJ données tarif,Tarif abonnement VéhElect mensuel,Tarif abonnement VéhElect trimestriel,Tarif abonnement VéhElect annuel,Tarif moto 1ere heure,Tarif abonnement moto mensuel,Tarif abonnement moto trimestriel,Tarif abonnement moto annuel,Tarif abonnement vélo mensuel,Coord X entrées LB93,Coord Y entrées LB93,Tarif_15mn Moto,Tarif_30mn Moto,Tarif_24h Moto,Tarif moto petit rouleur,Tarif moto petit rouleur annuel mini,Tarif moto petit rouleur annuel maxi,Tarif moto résident,Tarif moto résident annuel,Parc amodié,Tarif abonnement place attribuée annuel,Parc relais,Tarif abonnement parc relais annuel,Tarif résident mensuel,Parc affilié au dispositif Pass 2RM,Tarif horaire préférentiel Moto Pass 2RM,Tarif de l'abonnement au Pass 2RM mensuel,Tarif de l'abonnement au Pass 2RM trimestriel,Tarif de l'abonnement au Pass 2RM annuel,geo_shape,geo_point_2d
75117,abonnés,-0.8384190852384518,-0.25016235525036307,-0.9780594877938934,-0.23626460153448473,-0.40553364728905267,-0.266986043224874,-0.3870906374026661,-0.8982280315480212,0.0,-0.16504107428773415,2.29855692,48.88530074,,1.839901091559806e-15,1.8419213854631062e-15,0.0,1.8436574349405638e-15,0.0,260.0,325.0,abonnes tres longue duree,1-E-A,93 TER RUE AMPERE,INDIGO,0141720271,POUR ABONNES,0,325.0,3250.0,1,1950.0,2600.0,0,1658.142857142857,1.4404790263153897e-15,3.4391022012380425e-15,1.2294655967366408e-15,0.0,1.7899474058219334e-15,-1.6570339439754715e-15,0.0,0.0,0.0,6.249140878677783e-16,-4.4241048222756983e-16,0.0,2023-06-01T04:00:00+02:00,-9.548744623367216e-16,6.687640866702063e-16,-7.466230523431911e-16,0.0,5.356514362762164e-16,-7.448435232338363e-16,4.1082451676729383e-16,0.0,648561.523,6865260.181,-1.0107204846487687e-15,-2.5349882511240528e-15,-2.6401402919496112e-15,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,-0.4599331055039,,1,0.9563531018460026,0,0.0,-1.4927758789672218e-15,0,0.0,0.0,0.0,0.0,"{""coordinates"": [2.2985569242165003, 48.885300738250976], ""type"": ""Point""}","48.885300738250976, 2.2985569242165003"
75113,tous,-0.2511882365780525,1.6039821601346809,-0.3401946044500499,-0.20186906162305193,0.1455150146154836,-0.266986043224874,-0.3870906374026661,-0.3434401297095375,0.0,-0.4664204273349006,2.34427348,48.81733316,,-1.1973033797778636,-1.1949148241563143,-1.195406514135604,-1.1898631583821844,-1.1645253638127553,90.3,129.0,,120-E-A,27 TER AVENUE PIERRE DE COUBERTIN,SAEMES,0145652561,24h / 24,1,129.0,1380.0,0,1547.0252272727273,2137.781818181818,1,966.0,-0.8765633113070378,-0.9933741485037797,-1.137066772111998,-1.1459911533581986,-1.1270094461971978,-1.1227241435427249,-1.1506498902798008,-1.1645253638127553,-1.1645253638127553,6.249140878677783e-16,-4.4241048222756983e-16,0.0,2023-06-01T04:00:00+02:00,-2.465052379867779,-2.459942616087789,-2.3853553649735972,-1.1713959560842193,-1.683930937493598,-1.7046750646288282,-1.582428151526063,3.6572071651095515,651851.186,6857674.01,-1.1821301332223086,-1.2864943235938693,-1.185686020396194,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,2.1742292260184364,-1.0955386431009932,0,-1.7114928911399774,1,0.0,-3.6647492020136876,0,0.0,0.0,0.0,0.0,"{""coordinates"": [2.3442734753146452, 48.8173331543928], ""type"": ""Point""}","48.8173331543928, 2.3442734753146452"
75104,tous,0.8509543907106771,-0.25016235525036307,1.318254092243943,3.8052113380588675,2.5751386602854844,1.3607675751461323,1.1103389336023843,3.332029719970417,0.0,-0.16504107428773415,2.35340985,48.85610166,tarif_special,-0.16153114598444987,-0.15800526600414025,-0.15842736934327248,-0.15197629125753828,-0.1172006254800841,220.0,275.0,"tarif petit rouleur -30 % = contacter le parc,autre entree = 5 ter rue de Lobau, 75004, Paris,tarif PMR = 2,30 euros","25-E-A,25-E-B","2 QUATER RUE DE LOBAU,5 TER RUE DE LOBAU",SAGS,0142778853,24h / 24,1,275.0,2750.0,1,1540.0,2200.0,0,1658.142857142857,-0.22782923069213826,-0.2189571789045457,-0.16808813152960125,-0.12948368892220383,-0.11935863746314225,-0.07329356426688464,-0.09904046444381118,-0.1172006254800841,-0.1172006254800841,0.7416918371310475,0.7351583565418265,0.6335554740534625,2023-06-01T04:00:00+02:00,1.3817650047542716,1.3189825249996308,1.2266958365409726,0.14213591098930028,-0.01601042671201615,-0.06019512237298182,-0.09902455342502413,-0.5334593055051109,652557.337 | 652567.259,6861979.121 | 6862058.364,-0.2717540536143235,-0.1448371092787815,0.15195414854469289,1.5217718205053643,0.04934243700690662,0.2780525024317327,-0.4599331055039,,0,0.24302529623477806,0,0.0,-1.4927758789672218e-15,1,1.3112600752995673,1.2866255886641644,1.2866255886641642,1.2866255886641638,"{""coordinates"": [2.3534098472209917, 48.85610166098035], ""type"": ""Point""}","48.85610166098035, 2.3534098472209917"
75114,tous,0.49514456615289826,0.9859339883396662,0.6803892089000997,-0.20186906162305193,0.2707533468665146,-0.266986043224874,0.8964204234588057,0.7661356739674299,0.0,-0.4664204273349006,2.32584893,48.8205466,tarif_special,-1.4044578265365457,-1.4022967357867484,-1.402802343094071,-1.3974405318071128,-1.373990311479289,110.0,155.0,"tarif petit rouleur -25 % = contacter le parc,autre entree = 8 avenue de la Porte d Orleans, 75014, Paris,autre hauteur = 260 cm,tarif PMR = 2,00 euros,hauteur260 cm niveau -1 seulement autres niveaux 185","51-E-B,51-M-A","8 AVENUE DE LA PORTE D ORLEANS,7 RUE DE LA LEGION ETRANGERE",SAEMES,0140520920,24h / 24,1,155.0,1550.0,0,1547.0252272727273,2137.781818181818,1,1100.0,-1.2009303516144882,-1.3805826333033975,-1.4139178122783973,-1.3492926462453971,-1.3285396079440082,-1.3326102593978926,-1.3609717754469983,-1.373990311479289,-1.373990311479289,-2.2815495091442357,-2.2612841353268482,-2.3304955708724635,2023-06-01T04:00:00+02:00,-2.0282958209150572,-2.0246367934843192,-2.106242317583835,-1.1713959560842193,-1.6085446997181592,-1.6129510837858727,-1.6185646581789506,-0.5334593055051109,650501.388 | 650409.816,6858042.696 | 6858079.552,-1.1821301332223086,-1.2864943235938693,-1.185686020396194,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,2.1742292260184364,-1.1156514526822632,0,-1.466108126009716,1,0.0,-2.6300582771886125,0,0.0,0.0,0.0,0.0,"{""coordinates"": [2.3258489319746602, 48.820546594573734], ""type"": ""Point""}","48.820546594573734, 2.3258489319746602"
75108,tous,0.19429723481949177,-0.25016235525036307,0.5528162322313309,-0.23626460153448473,-0.1550569827869907,-0.266986043224874,0.040746382884491165,0.3153705037236618,0.0,-0.16504107428773415,2.31102051,48.86932976,tarif_special,1.4957044280850136,1.5010500270393397,1.500739262324457,1.5086426961418968,1.5585189558521904,189.7638888888889,281.0,"tarif PMR = 2,70 euros",61-E-A,2 M ROND POINT DES CHAMPS ELYSEES MARCEL DASSAULT,INDIGO,0142250483,24h / 24,1,281.0,2922.0,0,1547.0252272727273,2137.781818181818,0,1658.142857142857,1.0696389305376637,1.3298767602939257,1.4930181094687918,1.4969282541753846,1.492882656511348,1.6057953625744603,1.583534616893773,1.5585189558521904,1.5585189558521904,0.7966598616087799,0.8441199017006874,0.8189433939542841,2023-06-01T04:00:00+02:00,0.07149532789610587,0.11659725283545187,0.14636415899706948,1.7840507448311984,0.04995253134149274,0.0642874230567436,0.1159876611596575,-0.5334593055051109,649459.988,6863476.275,1.5489981056016449,1.5676487121938478,1.8240043597207998,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,-0.4599331055039,,0,0.48783939912055035,0,0.0,-1.4927758789672218e-15,0,0.0,0.0,0.0,0.0,"{""coordinates"": [2.3110205060696947, 48.86932975831489], ""type"": ""Point""}","48.86932975831489, 2.3110205060696947"
75107,tous,1.076589889210732,-0.25016235525036307,1.318254092243943,-0.11588021184446996,0.5963730107191951,-0.266986043224874,-0.3870906374026661,1.5983175267251553,0.0,-0.16504107428773415,2.32495873,48.8515934,tarif_special,0.25277774753291604,0.25675855725672975,0.25636428857365995,0.26317845559232045,0.3017292698529853,231.0,311.0,"tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,40 euros",155-M-A,1 BIS RUE DE BABYLONE,INDIGO,0145484330,24h / 24,1,311.0,3234.0,1,1794.75,2393.0,0,1658.142857142857,0.09653780961531222,0.16825130589507215,0.247188428719997,0.2771192968521933,0.28370168603048035,0.3464786674434524,0.32160330589058567,0.3017292698529853,0.3017292698529853,1.1264680084751744,1.1710045371772702,1.1552284579604255,2023-06-01T04:00:00+02:00,0.575445203610785,0.6107281866015529,0.6586186930300448,0.47051887775767876,0.42688372021868637,0.45739019809798176,0.5098755836761331,-0.5334593055051109,650465.54,6861495.314,0.6386220259936607,0.42599149787876117,0.486364190779914,1.5217718205053643,1.2941473324298793,1.053064367400371,-0.4599331055039,,0,0.9329559498219545,0,0.0,-1.4927758789672218e-15,1,1.3112600752995673,1.2866255886641644,1.2866255886641642,1.2866255886641638,"{""coordinates"": [2.3249587337003255, 48.85159339414593], ""type"": ""Point""}","48.85159339414593, 2.3249587337003255"
75117,abonnés,-0.9309874948794998,-0.25016235525036307,-0.9780594877938934,-0.23626460153448473,-0.40553364728905267,-0.266986043224874,-0.3870906374026661,-0.8982280315480212,0.0,-0.16504107428773415,2.30582921,48.88158487,,1.839901091559806e-15,1.8419213854631062e-15,0.0,1.8436574349405638e-15,0.0,189.7638888888889,,abonnes tres longue duree,65-E-A,37 TER RUE DE PRONY,SAEMES,0144829999,POUR ABONNES,0,,,0,1547.0252272727273,2137.781818181818,0,1658.142857142857,1.4404790263153897e-15,3.4391022012380425e-15,1.2294655967366408e-15,0.0,1.7899474058219334e-15,-1.6570339439754715e-15,0.0,0.0,0.0,6.249140878677783e-16,-4.4241048222756983e-16,0.0,2023-06-01T04:00:00+02:00,-9.548744623367216e-16,6.687640866702063e-16,-7.466230523431911e-16,0.0,5.356514362762164e-16,-7.448435232338363e-16,4.1082451676729383e-16,0.0,649091.171,6864842.288,-1.0107204846487687e-15,-2.5349882511240528e-15,-2.6401402919496112e-15,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,-0.4599331055039,,1,0.0,0,0.0,-1.4927758789672218e-15,0,0.0,0.0,0.0,0.0,"{""coordinates"": [2.3058292146971033, 48.881584869253544], ""type"": ""Point""}","48.881584869253544, 2.3058292146971033"
75109,tous,0.16247684400538145,-0.25016235525036307,0.5528162322313309,-0.18467129166733554,2.0741853312813605,-0.266986043224874,0.8964204234588057,0.7661356739674299,0.0,-0.16504107428773415,2.33405582,48.87135174,tarif_special,-0.575840039501814,-0.5727690892650084,-0.5732190272602061,-0.5671310381073952,-0.5361305208131519,150.0,300.0,"tarif PMR = 2,20 euros",18-E-A,2 TER RUE DE LA CHAUSSEE D ANTIN,SAGS,0186221858,24h / 24,1,300.0,3000.0,0,1547.0252272727273,2137.781818181818,1,1500.0,-0.5521962709995873,-0.6061656637041618,-0.5833646917792007,-0.536086674696602,-0.522418960956763,-0.49306579597722006,-0.5196842347782064,-0.5361305208131519,-0.5361305208131519,-2.2815495091442357,-2.2612841353268482,-2.3304955708724635,2023-06-01T04:00:00+02:00,2.4232614145646085,2.463719188224432,2.244637538785988,-0.8430129893158395,0.31380436355552827,0.3296317962095794,0.21716987978774296,-0.5334593055051109,651151.596,6863686.607,-0.2717540536143235,-0.7156657164363255,-1.1485293490367245,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,2.1742292260184364,-0.2776177201293475,0,0.5996891990403903,0,0.0,-0.5291629983559734,1,1.3112600752995673,1.2866255886641644,1.2866255886641642,1.2866255886641638,"{""coordinates"": [2.334055816625868, 48.87135174212155], ""type"": ""Point""}","48.87135174212155, 2.334055816625868"
75114,tous,0.7757425578773255,-0.25016235525036307,-0.9780594877938934,-0.23626460153448473,-0.40553364728905267,-0.266986043224874,-0.3870906374026661,0.24602201599385137,0.0,-0.16504107428773415,2.33079393,48.84146614,tarif_special,-0.575840039501814,-0.5727690892650084,-0.5732190272602061,-0.5671310381073952,-0.5361305208131519,140.0,230.0,"autre entree = 139 ter boulevard du Montparnasse, 75006, Paris,tarif PMR = 2,20 euros","19-E-A,19-E-B","120 QUATER BOULEVARD DU MONTPARNASSE,139 TER BOULEVARD DU MONTPARNASSE",INDIGO,0145484330,24h / 24,PREVU,230.0,2300.0,0,1547.0252272727273,2137.781818181818,1,1400.0,-0.5521962709995873,-0.6061656637041618,-0.5833646917792007,-0.536086674696602,-0.522418960956763,-0.49306579597722006,-0.5196842347782064,-0.5361305208131519,-0.5361305208131519,-2.2815495091442357,-2.2612841353268482,-2.3304955708724635,2023-06-01T04:00:00+02:00,-0.7684211316283593,-0.7304843479064356,-0.8748612261584134,-0.5146300225474596,-0.6285236086374558,-0.6039872945133613,-0.6862427865344487,-0.5334593055051109,650884.172 | 651024.533,6860365.62 | 6860321.567,-1.1821301332223086,-1.2864943235938693,-0.5168659359257506,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,2.1742292260184364,-0.5122671652441638,0,-0.39326310637043427,0,0.0,-1.0543868180641331,1,-1.4341907073589015,-1.3601470508735436,-1.360147050873544,-1.3601470508735443,"{""coordinates"": [2.3307939254363115, 48.84146614198], ""type"": ""Point""}","48.84146614198, 2.3307939254363115"
75101,tous,0.7005307250439738,-0.25016235525036307,-0.0850486511125125,-0.23626460153448473,-0.40553364728905267,-0.266986043224874,0.040746382884491165,1.216900844211198,0.0,-0.16504107428773415,2.3427859,48.85566488,,0.25277774753291604,0.25675855725672975,0.25636428857365995,0.26317845559232045,0.3017292698529853,188.0,269.0,,41-E-A,40 BIS QUAI DES ORFEVRES,INDIGO,0146339748,24h / 24,1,269.0,2797.0,0,1547.0252272727273,2137.781818181818,1,1957.0,0.09653780961531222,0.16825130589507215,0.247188428719997,0.2771192968521933,0.28370168603048035,0.3464786674434524,0.32160330589058567,0.3017292698529853,0.3017292698529853,6.249140878677783e-16,-4.4241048222756983e-16,0.0,2023-06-01T04:00:00+02:00,-0.13008462238976579,-0.09517314735001998,-0.06050786436240135,0.0,-0.10081994420938471,-0.09295368695975167,-0.04301296811304824,0.0,651777.433,6861936.99,-1.0107204846487687e-15,-2.5349882511240528e-15,-2.6401402919496112e-15,-0.657128740672771,-3.0598471814275617e-15,2.4474624479171273e-15,-0.4599331055039,,0,0.1408767544712507,0,0.0,1.4666875165350337,1,1.3112600752995673,1.2866255886641644,1.2866255886641642,1.2866255886641638,"{""coordinates"": [2.3427858985400896, 48.85566487618387], ""type"": ""Point""}","48.85566487618387, 2.3427858985400896"
